pod,namespace,node
istio-public-pinkies-ingressgateway-58d59f76c8-5dvvw,istio-system,sad-carver-682686292
istiod-8587685b9f-5wtdm,istio-system,sad-carver-682686292
istiod-8587685b9f-5xpl4,istio-system,sad-carver-682686292
istio-auth-ingressgateway-84994966c9-b46g2,istio-system,heuristic-perlman-811207297
istio-internal-gauth-ingressgateway-64fff4d8f8-84rzh,istio-system,heuristic-perlman-811207297
istio-internal-ingressgateway-79c54cb94d-g5dh2,istio-system,heuristic-perlman-811207297
istio-public-ingressgateway-746cbc79dd-7spfv,istio-system,heuristic-perlman-811207297
istio-public-pinkies-ingressgateway-58d59f76c8-69twd,istio-system,heuristic-perlman-811207297
istiod-8587685b9f-6zrqg,istio-system,heuristic-perlman-811207297
istiod-8587685b9f-79f7l,istio-system,heuristic-perlman-811207297
istio-auth-ingressgateway-84994966c9-c7scr,istio-system,loving-golick-2178453519
istio-internal-gauth-ingressgateway-64fff4d8f8-8zv65,istio-system,loving-golick-2178453519
istio-internal-gauth-ingressgateway-64fff4d8f8-bhpf6,istio-system,loving-golick-2178453519
istio-internal-ingressgateway-79c54cb94d-gmz6h,istio-system,loving-golick-2178453519
istio-internal-ingressgateway-79c54cb94d-h5c4m,istio-system,loving-golick-2178453519
istio-public-ingressgateway-746cbc79dd-jhr4m,istio-system,loving-golick-2178453519
istio-public-pinkies-ingressgateway-58d59f76c8-dvppk,istio-system,loving-golick-2178453519
istio-public-pinkies-ingressgateway-58d59f76c8-f87wx,istio-system,loving-golick-2178453519
istio-auth-ingressgateway-84994966c9-gkj56,istio-system,inspiring-pike-66661323
istio-auth-ingressgateway-84994966c9-n5czm,istio-system,inspiring-pike-66661323
istio-auth-ingressgateway-84994966c9-ndln8,istio-system,inspiring-pike-66661323
istio-internal-gauth-ingressgateway-64fff4d8f8-fw9gt,istio-system,inspiring-pike-66661323
istio-internal-gauth-ingressgateway-64fff4d8f8-gc2c9,istio-system,inspiring-pike-66661323
istio-internal-ingressgateway-79c54cb94d-k5d9m,istio-system,inspiring-pike-66661323
istio-public-ingressgateway-746cbc79dd-nqt5x,istio-system,inspiring-pike-66661323
istio-public-ingressgateway-746cbc79dd-p2s2w,istio-system,inspiring-pike-66661323
istio-public-pinkies-ingressgateway-58d59f76c8-glbjm,istio-system,inspiring-pike-66661323
istio-auth-ingressgateway-84994966c9-p8kll,istio-system,relaxed-babbage-3175342617
istio-internal-gauth-ingressgateway-64fff4d8f8-hmlpl,istio-system,relaxed-babbage-3175342617
istio-internal-ingressgateway-79c54cb94d-lrv4g,istio-system,relaxed-babbage-3175342617
istio-public-ingressgateway-746cbc79dd-p7qrw,istio-system,relaxed-babbage-3175342617
istio-public-pinkies-ingressgateway-58d59f76c8-ldr24,istio-system,relaxed-babbage-3175342617
istio-public-pinkies-ingressgateway-58d59f76c8-m7jcg,istio-system,relaxed-babbage-3175342617
istiod-8587685b9f-7gpnp,istio-system,relaxed-babbage-3175342617
istiod-8587685b9f-f79kp,istio-system,relaxed-babbage-3175342617
istiod-8587685b9f-gf46s,istio-system,relaxed-babbage-3175342617
istiod-8587685b9f-h5c2n,istio-system,relaxed-babbage-3175342617
