name,timestamp,value,resource,__replica__,unit,instance,cluster,namespace,node,job,pod,container
kube_pod_container_resource_requests,1730160669,14.0,cpu,prd-ti-o11y-eks-use1-ob3,core,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,clickhouse,ip-172-16-57-199.ec2.internal,kube-state-metrics,chi-clickhouse-signoz-ch-cluster-0-0-0,clickhouse
kube_pod_container_resource_requests,1730160069,32212254720.0,memory,prd-ti-o11y-eks-use1-ob3,byte,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,clickhouse,ip-172-16-57-199.ec2.internal,kube-state-metrics,chi-clickhouse-signoz-ch-cluster-0-0-0,clickhouse
kube_pod_container_resource_requests,1730160669,32212254720.0,memory,prd-ti-o11y-eks-use1-ob3,byte,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,clickhouse,ip-172-16-57-199.ec2.internal,kube-state-metrics,chi-clickhouse-signoz-ch-cluster-0-0-0,clickhouse
kube_pod_container_resource_requests,1730160069,14.0,cpu,prd-ti-o11y-eks-use1-ob3,core,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,clickhouse,ip-172-16-227-136.ec2.internal,kube-state-metrics,chi-clickhouse-signoz-ch-cluster-0-1-0,clickhouse
kube_pod_container_resource_requests,1730160669,14.0,cpu,prd-ti-o11y-eks-use1-ob3,core,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,clickhouse,ip-172-16-227-136.ec2.internal,kube-state-metrics,chi-clickhouse-signoz-ch-cluster-0-1-0,clickhouse
kube_pod_container_resource_requests,1730160069,32212254720.0,memory,prd-ti-o11y-eks-use1-ob3,byte,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,clickhouse,ip-172-16-227-136.ec2.internal,kube-state-metrics,chi-clickhouse-signoz-ch-cluster-0-1-0,clickhouse
kube_pod_container_resource_requests,1730160669,32212254720.0,memory,prd-ti-o11y-eks-use1-ob3,byte,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,clickhouse,ip-172-16-227-136.ec2.internal,kube-state-metrics,chi-clickhouse-signoz-ch-cluster-0-1-0,clickhouse
kube_pod_container_resource_requests,1730160069,14.0,cpu,prd-ti-o11y-eks-use1-ob3,core,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,clickhouse,ip-172-16-213-58.ec2.internal,kube-state-metrics,chi-clickhouse-signoz-ch-cluster-1-0-0,clickhouse
kube_pod_container_resource_requests,1730160669,14.0,cpu,prd-ti-o11y-eks-use1-ob3,core,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,clickhouse,ip-172-16-213-58.ec2.internal,kube-state-metrics,chi-clickhouse-signoz-ch-cluster-1-0-0,clickhouse
kube_pod_container_resource_requests,1730160069,32212254720.0,memory,prd-ti-o11y-eks-use1-ob3,byte,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,clickhouse,ip-172-16-213-58.ec2.internal,kube-state-metrics,chi-clickhouse-signoz-ch-cluster-1-0-0,clickhouse
kube_pod_container_resource_requests,1730160669,32212254720.0,memory,prd-ti-o11y-eks-use1-ob3,byte,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,clickhouse,ip-172-16-213-58.ec2.internal,kube-state-metrics,chi-clickhouse-signoz-ch-cluster-1-0-0,clickhouse
kube_pod_container_resource_requests,1730160069,14.0,cpu,prd-ti-o11y-eks-use1-ob3,core,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,clickhouse,ip-172-16-24-120.ec2.internal,kube-state-metrics,chi-clickhouse-signoz-ch-cluster-1-1-0,clickhouse
kube_pod_container_resource_requests,1730160669,14.0,cpu,prd-ti-o11y-eks-use1-ob3,core,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,clickhouse,ip-172-16-24-120.ec2.internal,kube-state-metrics,chi-clickhouse-signoz-ch-cluster-1-1-0,clickhouse
kube_pod_container_resource_requests,1730160069,32212254720.0,memory,prd-ti-o11y-eks-use1-ob3,byte,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,clickhouse,ip-172-16-24-120.ec2.internal,kube-state-metrics,chi-clickhouse-signoz-ch-cluster-1-1-0,clickhouse
kube_pod_container_resource_requests,1730160669,32212254720.0,memory,prd-ti-o11y-eks-use1-ob3,byte,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,clickhouse,ip-172-16-24-120.ec2.internal,kube-state-metrics,chi-clickhouse-signoz-ch-cluster-1-1-0,clickhouse
kube_pod_container_resource_requests,1730160069,14.0,cpu,prd-ti-o11y-eks-use1-ob3,core,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,clickhouse,ip-172-16-35-198.ec2.internal,kube-state-metrics,chi-clickhouse-signoz-ch-cluster-2-0-0,clickhouse
kube_pod_container_resource_requests,1730160669,14.0,cpu,prd-ti-o11y-eks-use1-ob3,core,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,clickhouse,ip-172-16-35-198.ec2.internal,kube-state-metrics,chi-clickhouse-signoz-ch-cluster-2-0-0,clickhouse
kube_pod_container_resource_requests,1730160069,32212254720.0,memory,prd-ti-o11y-eks-use1-ob3,byte,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,clickhouse,ip-172-16-35-198.ec2.internal,kube-state-metrics,chi-clickhouse-signoz-ch-cluster-2-0-0,clickhouse
kube_pod_container_resource_requests,1730160669,32212254720.0,memory,prd-ti-o11y-eks-use1-ob3,byte,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,clickhouse,ip-172-16-35-198.ec2.internal,kube-state-metrics,chi-clickhouse-signoz-ch-cluster-2-0-0,clickhouse
kube_pod_container_resource_requests,1730160069,14.0,cpu,prd-ti-o11y-eks-use1-ob3,core,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,clickhouse,ip-172-16-218-152.ec2.internal,kube-state-metrics,chi-clickhouse-signoz-ch-cluster-2-1-0,clickhouse
kube_pod_container_resource_requests,1730160669,14.0,cpu,prd-ti-o11y-eks-use1-ob3,core,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,clickhouse,ip-172-16-218-152.ec2.internal,kube-state-metrics,chi-clickhouse-signoz-ch-cluster-2-1-0,clickhouse
kube_pod_container_resource_requests,1730160069,32212254720.0,memory,prd-ti-o11y-eks-use1-ob3,byte,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,clickhouse,ip-172-16-218-152.ec2.internal,kube-state-metrics,chi-clickhouse-signoz-ch-cluster-2-1-0,clickhouse
kube_pod_container_resource_requests,1730160669,32212254720.0,memory,prd-ti-o11y-eks-use1-ob3,byte,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,clickhouse,ip-172-16-218-152.ec2.internal,kube-state-metrics,chi-clickhouse-signoz-ch-cluster-2-1-0,clickhouse
kube_pod_container_resource_requests,1730160069,14.0,cpu,prd-ti-o11y-eks-use1-ob3,core,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,clickhouse,ip-172-16-253-135.ec2.internal,kube-state-metrics,chi-clickhouse-signoz-ch-cluster-3-0-0,clickhouse
kube_pod_container_resource_requests,1730160669,14.0,cpu,prd-ti-o11y-eks-use1-ob3,core,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,clickhouse,ip-172-16-253-135.ec2.internal,kube-state-metrics,chi-clickhouse-signoz-ch-cluster-3-0-0,clickhouse
kube_pod_container_resource_requests,1730160069,32212254720.0,memory,prd-ti-o11y-eks-use1-ob3,byte,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,clickhouse,ip-172-16-253-135.ec2.internal,kube-state-metrics,chi-clickhouse-signoz-ch-cluster-3-0-0,clickhouse
kube_pod_container_resource_requests,1730160669,32212254720.0,memory,prd-ti-o11y-eks-use1-ob3,byte,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,clickhouse,ip-172-16-253-135.ec2.internal,kube-state-metrics,chi-clickhouse-signoz-ch-cluster-3-0-0,clickhouse
