,name,timestamp,value,__replica__,owner_is_controller,owner_name,instance,cluster,namespace,pod,job,owner_kind
15,kube_pod_owner,1730164269,1,prd-ti-o11y-eks-use1-ob3,True,otel-o11y-ob3-af-beta-opentelemetry-collector-55fcc786c6,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,otel-o11y-ob3-af-beta-opentelemetry-collector-55fcc786c6-hqbwl,kube-state-metrics,ReplicaSet
16,kube_pod_owner,1730160069,1,prd-ti-o11y-eks-use1-ob3,True,otel-o11y-ob3-af-beta-opentelemetry-collector-55fcc786c6,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,otel-o11y-ob3-af-beta-opentelemetry-collector-55fcc786c6-jnzpp,kube-state-metrics,ReplicaSet
17,kube_pod_owner,1730160669,1,prd-ti-o11y-eks-use1-ob3,True,otel-o11y-ob3-af-beta-opentelemetry-collector-55fcc786c6,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,otel-o11y-ob3-af-beta-opentelemetry-collector-55fcc786c6-jnzpp,kube-state-metrics,ReplicaSet
18,kube_pod_owner,1730161269,1,prd-ti-o11y-eks-use1-ob3,True,otel-o11y-ob3-af-beta-opentelemetry-collector-55fcc786c6,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,otel-o11y-ob3-af-beta-opentelemetry-collector-55fcc786c6-jnzpp,kube-state-metrics,ReplicaSet
19,kube_pod_owner,1730161869,1,prd-ti-o11y-eks-use1-ob3,True,otel-o11y-ob3-af-beta-opentelemetry-collector-55fcc786c6,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,otel-o11y-ob3-af-beta-opentelemetry-collector-55fcc786c6-jnzpp,kube-state-metrics,ReplicaSet
20,kube_pod_owner,1730162469,1,prd-ti-o11y-eks-use1-ob3,True,otel-o11y-ob3-af-beta-opentelemetry-collector-55fcc786c6,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,otel-o11y-ob3-af-beta-opentelemetry-collector-55fcc786c6-jnzpp,kube-state-metrics,ReplicaSet
21,kube_pod_owner,1730163069,1,prd-ti-o11y-eks-use1-ob3,True,otel-o11y-ob3-af-beta-opentelemetry-collector-55fcc786c6,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,otel-o11y-ob3-af-beta-opentelemetry-collector-55fcc786c6-jnzpp,kube-state-metrics,ReplicaSet
22,kube_pod_owner,1730163669,1,prd-ti-o11y-eks-use1-ob3,True,otel-o11y-ob3-af-beta-opentelemetry-collector-55fcc786c6,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,otel-o11y-ob3-af-beta-opentelemetry-collector-55fcc786c6-jnzpp,kube-state-metrics,ReplicaSet
23,kube_pod_owner,1730164269,1,prd-ti-o11y-eks-use1-ob3,True,otel-o11y-ob3-af-beta-opentelemetry-collector-55fcc786c6,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,otel-o11y-ob3-af-beta-opentelemetry-collector-55fcc786c6-jnzpp,kube-state-metrics,ReplicaSet
24,kube_pod_owner,1730160069,1,prd-ti-o11y-eks-use1-ob3,True,otel-o11y-ob3-af-stable-opentelemetry-collector-7f69d9fcc,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,otel-o11y-ob3-af-stable-opentelemetry-collector-7f69d9fcc-6xj6v,kube-state-metrics,ReplicaSet
25,kube_pod_owner,1730160669,1,prd-ti-o11y-eks-use1-ob3,True,otel-o11y-ob3-af-stable-opentelemetry-collector-7f69d9fcc,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,otel-o11y-ob3-af-stable-opentelemetry-collector-7f69d9fcc-6xj6v,kube-state-metrics,ReplicaSet
26,kube_pod_owner,1730161269,1,prd-ti-o11y-eks-use1-ob3,True,otel-o11y-ob3-af-stable-opentelemetry-collector-7f69d9fcc,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,otel-o11y-ob3-af-stable-opentelemetry-collector-7f69d9fcc-6xj6v,kube-state-metrics,ReplicaSet
27,kube_pod_owner,1730161869,1,prd-ti-o11y-eks-use1-ob3,True,otel-o11y-ob3-af-stable-opentelemetry-collector-7f69d9fcc,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,otel-o11y-ob3-af-stable-opentelemetry-collector-7f69d9fcc-6xj6v,kube-state-metrics,ReplicaSet
28,kube_pod_owner,1730162469,1,prd-ti-o11y-eks-use1-ob3,True,otel-o11y-ob3-af-stable-opentelemetry-collector-7f69d9fcc,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,otel-o11y-ob3-af-stable-opentelemetry-collector-7f69d9fcc-6xj6v,kube-state-metrics,ReplicaSet
29,kube_pod_owner,1730163069,1,prd-ti-o11y-eks-use1-ob3,True,otel-o11y-ob3-af-stable-opentelemetry-collector-7f69d9fcc,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,otel-o11y-ob3-af-stable-opentelemetry-collector-7f69d9fcc-6xj6v,kube-state-metrics,ReplicaSet
