,name,timestamp,value,__replica__,replicaset,owner_is_controller,owner_name,instance,cluster,namespace,job,owner_kind
17,kube_replicaset_owner,1730160669,1,prd-ti-o11y-eks-use1-ob3,otel-o11y-ob3-af-beta-opentelemetry-collector-68f9779777,True,otel-o11y-ob3-af-beta-opentelemetry-collector,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,kube-state-metrics,Deployment
18,kube_replicaset_owner,1730161269,1,prd-ti-o11y-eks-use1-ob3,otel-o11y-ob3-af-beta-opentelemetry-collector-68f9779777,True,otel-o11y-ob3-af-beta-opentelemetry-collector,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,kube-state-metrics,Deployment
19,kube_replicaset_owner,1730161869,1,prd-ti-o11y-eks-use1-ob3,otel-o11y-ob3-af-beta-opentelemetry-collector-68f9779777,True,otel-o11y-ob3-af-beta-opentelemetry-collector,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,kube-state-metrics,Deployment
20,kube_replicaset_owner,1730162469,1,prd-ti-o11y-eks-use1-ob3,otel-o11y-ob3-af-beta-opentelemetry-collector-68f9779777,True,otel-o11y-ob3-af-beta-opentelemetry-collector,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,kube-state-metrics,Deployment
21,kube_replicaset_owner,1730163069,1,prd-ti-o11y-eks-use1-ob3,otel-o11y-ob3-af-beta-opentelemetry-collector-68f9779777,True,otel-o11y-ob3-af-beta-opentelemetry-collector,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,kube-state-metrics,Deployment
22,kube_replicaset_owner,1730163669,1,prd-ti-o11y-eks-use1-ob3,otel-o11y-ob3-af-beta-opentelemetry-collector-68f9779777,True,otel-o11y-ob3-af-beta-opentelemetry-collector,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,kube-state-metrics,Deployment
23,kube_replicaset_owner,1730164269,1,prd-ti-o11y-eks-use1-ob3,otel-o11y-ob3-af-beta-opentelemetry-collector-68f9779777,True,otel-o11y-ob3-af-beta-opentelemetry-collector,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,kube-state-metrics,Deployment
24,kube_replicaset_owner,1730160069,1,prd-ti-o11y-eks-use1-ob3,otel-o11y-ob3-af-beta-opentelemetry-collector-6965db7874,True,otel-o11y-ob3-af-beta-opentelemetry-collector,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,kube-state-metrics,Deployment
25,kube_replicaset_owner,1730160669,1,prd-ti-o11y-eks-use1-ob3,otel-o11y-ob3-af-beta-opentelemetry-collector-6965db7874,True,otel-o11y-ob3-af-beta-opentelemetry-collector,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,kube-state-metrics,Deployment
26,kube_replicaset_owner,1730161269,1,prd-ti-o11y-eks-use1-ob3,otel-o11y-ob3-af-beta-opentelemetry-collector-6965db7874,True,otel-o11y-ob3-af-beta-opentelemetry-collector,o11y-kube-state-metrics:8080,prd-ti-o11y-eks-use1-ob3,activity-flow,kube-state-metrics,Deployment
